attom_id,fips,apn,address,postal1,state,latitude,longitude,property_type,year_built,beds,baths,sqft,lot_size,sale_amount,sale_date,sale_type,price_per_sqft,area_code,area_title
108576,45007,192-02-02-003,"245 SMITH DR, PELZER, SC 29669",29669,SC,34.689207,-82.570301,RESIDENTIAL - VACANT LAND,,,,,0.574,350000.0,2024-01-17,Resale,,24860,"Greenville-Anderson-Greer, SC"
120806,45007,018-00-09-004,"909 DOUBLE SPRINGS RD, TOWNVILLE, SC 29689",29689,SC,34.496108,-82.865635,SFR,1991.0,,,2049.0,9.01,550000.0,2025-07-30,Resale,268.42,24860,"Greenville-Anderson-Greer, SC"
129574,45007,133-02-08-012,"122 SIMPSON ST, IVA, SC 29655",29655,SC,34.308015,-82.655810,SFR,,,,811.0,0.489,139900.0,2025-05-30,Resale,172.5,24860,"Greenville-Anderson-Greer, SC"
135534,45007,192-06-02-013,"700 CONNERS BLVD, PIEDMONT, SC 29673",29673,SC,34.682369,-82.553680,MOBILE HOME,1995.0,,,1792.0,0.92,209000.0,2023-08-31,Resale,116.63,24860,"Greenville-Anderson-Greer, SC"
135546,45007,276-10-04-020,"209 SANDERS ST, HONEA PATH, SC 29654",29654,SC,34.441382,-82.387220,MOBILE HOME,1995.0,,,1782.0,0.253,200000.0,2026-01-30,Resale,112.23,24860,"Greenville-Anderson-Greer, SC"
140193,45007,126-12-01-001,"221 CORNING ST, ANDERSON, SC 29624",29624,SC,34.460981,-82.651466,SFR,,,,,0.174,149900.0,2025-07-07,Resale,,24860,"Greenville-Anderson-Greer, SC"
144753,45007,174-11-01-005,"1212 COUNTRY CRK, BELTON, SC 29627",29627,SC,34.530781,-82.578914,AGRICULTURAL (NEC),,,,,1.37,85000.0,2025-08-15,Resale,,24860,"Greenville-Anderson-Greer, SC"
144755,45007,071-04-02-005,"109 MELJO DR, ANDERSON, SC 29626",29626,SC,34.480316,-82.738398,MOBILE HOME,1995.0,,,1456.0,0.23,70000.0,2025-10-07,Resale,48.08,24860,"Greenville-Anderson-Greer, SC"
144761,45007,096-12-01-003,"105 SELWYN DR, ANDERSON, SC 29625",29625,SC,34.504165,-82.700469,SFR,,,,1107.0,0.459,190000.0,2025-04-30,Resale,171.64,24860,"Greenville-Anderson-Greer, SC"
144765,45007,216-07-01-006,"2726 HIGHWAY 86, PIEDMONT, SC 29673",29673,SC,34.721540,-82.519513,SFR,1991.0,,,1404.0,0.57,273000.0,2024-06-28,Resale,194.44,24860,"Greenville-Anderson-Greer, SC"
144781,45007,097-10-02-008,"102 MARSH CREEK DR, ANDERSON, SC 29626",29626,SC,34.483814,-82.694310,MOBILE HOME,1999.0,,,1248.0,0.7,40000.0,2025-04-02,Resale,32.05,24860,"Greenville-Anderson-Greer, SC"
144789,45007,044-01-01-013,"114 ANN RD, ANDERSON, SC 29625",29625,SC,34.585011,-82.793500,MOBILE HOME,1999.0,3.0,,1676.0,0.64,187400.0,2025-11-05,Resale,111.81,24860,"Greenville-Anderson-Greer, SC"
144794,45007,010-06-01-005,"433 DOGWOOD LN, TOWNVILLE, SC 29689",29689,SC,34.495627,-82.913320,MOBILE HOME,1998.0,,,1296.0,0.826,214000.0,2025-06-26,Resale,165.12,24860,"Greenville-Anderson-Greer, SC"
149435,45007,125-20-04-005,"109 CHEEK ST, ANDERSON, SC 29624",29624,SC,34.470866,-82.649792,SFR,,2.0,,736.0,0.141,159900.0,2025-04-30,Resale,217.26,24860,"Greenville-Anderson-Greer, SC"
149457,45007,221-13-05-007,"114 RIDGE DR, WILLIAMSTON, SC 29697",29697,SC,34.622598,-82.529357,MOBILE HOME,1999.0,,,1232.0,0.579,134600.0,2023-04-25,Resale,109.25,24860,"Greenville-Anderson-Greer, SC"
149465,45007,148-24-03-022,"158 ASHTON LN, ANDERSON, SC 29621",29621,SC,34.533782,-82.626312,SFR,2005.0,,,1327.0,0.25,245000.0,2024-11-26,Resale,184.63,24860,"Greenville-Anderson-Greer, SC"
149466,45007,148-24-01-019,"119 ASHTON LN, ANDERSON, SC 29621",29621,SC,34.531474,-82.625098,SFR,1999.0,,,1176.0,0.353,217900.0,2025-01-20,Resale,185.29,24860,"Greenville-Anderson-Greer, SC"
149471,45007,151-02-02-013,"2803 WALNUT DR, ANDERSON, SC 29624",29624,SC,34.478642,-82.634670,SFR,,,,1266.0,0.345,176000.0,2023-11-27,Resale,139.02,24860,"Greenville-Anderson-Greer, SC"
149472,45007,062-02-04-007,"1000 CHERRY STREET EXT, PENDLETON, SC 29670",29670,SC,34.646588,-82.767107,SFR,,,,1058.0,0.23,175000.0,2025-04-25,Resale,165.41,24860,"Greenville-Anderson-Greer, SC"
151885,45007,225-01-12-001,"308 CHERRY ST, BELTON, SC 29627",29627,SC,34.522937,-82.500458,SFR,,,,,0.253,258000.0,2024-10-18,Resale,,24860,"Greenville-Anderson-Greer, SC"
151889,45007,191-00-07-016,"560 WREN RD, PIEDMONT, SC 29673",29673,SC,34.708160,-82.534961,SFR,2000.0,5.0,,2189.0,1.0,,2025-03-10,Resale,,24860,"Greenville-Anderson-Greer, SC"
151892,45007,249-12-01-012,"103 BERRY CT, BELTON, SC 29627",29627,SC,34.537430,-82.474149,SFR,2000.0,3.0,,1318.0,0.362,225000.0,2025-12-10,Resale,170.71,24860,"Greenville-Anderson-Greer, SC"
164522,45007,222-06-01-006,"555 WILLINGHAM RD, WILLIAMSTON, SC 29697",29697,SC,34.592636,-82.520861,AGRICULTURAL LAND,,,,,1.33,,2025-10-15,Resale,,24860,"Greenville-Anderson-Greer, SC"
165663,45007,124-13-04-003,"811 W WHITNER ST, ANDERSON, SC 29624",29624,SC,34.502582,-82.661207,SFR,2019.0,,,2442.0,0.264,375000.0,2025-02-20,Resale,153.56,24860,"Greenville-Anderson-Greer, SC"
168814,45007,150-13-01-009,"106 HANKS CIR, ANDERSON, SC 29621",29621,SC,34.488279,-82.614708,DUPLEX,2006.0,4.0,,2099.0,0.571,217500.0,2026-04-20,Resale,103.62,24860,"Greenville-Anderson-Greer, SC"
168818,45007,154-10-01-032,"2807 AIRLINE RD, ANDERSON, SC 29624",29624,SC,34.409086,-82.629002,SFR,,,,,1.0,187000.0,2025-09-09,Resale,,24860,"Greenville-Anderson-Greer, SC"
184648,45007,184-00-08-007,"513 MELLRICH RD, IVA, SC 29655",29655,SC,34.335375,-82.583512,AGRICULTURAL (NEC),,,,,3.04,165000.0,2025-12-15,Resale,,24860,"Greenville-Anderson-Greer, SC"
184649,45007,242-04-02-002,"128 EFFIE DR, PIEDMONT, SC 29673",29673,SC,34.676257,-82.462824,MOBILE HOME,1994.0,3.0,,1680.0,0.96,200000.0,2023-12-05,Resale,119.05,24860,"Greenville-Anderson-Greer, SC"
186744,45007,094-16-01-040,"115 GREEN TREE RD, ANDERSON, SC 29625",29625,SC,34.554549,-82.712482,MOBILE HOME,2002.0,3.0,,1664.0,0.591,167900.0,2024-04-04,Resale,100.9,24860,"Greenville-Anderson-Greer, SC"
199549,45007,061-02-01-046,"125 LOUISE DR, PENDLETON, SC 29670",29670,SC,34.662888,-82.758108,MOBILE HOME,2001.0,3.0,,1288.0,0.82,150000.0,2025-11-26,Resale,116.46,24860,"Greenville-Anderson-Greer, SC"
202160,45007,235-05-02-032,"106 BLUEFOREST LN, GREENVILLE, SC 29611",29611,SC,34.808228,-82.492425,MOBILE HOME,2000.0,,,2368.0,2.67,278000.0,2025-07-11,Resale,117.4,24860,"Greenville-Anderson-Greer, SC"
207584,45007,213-08-04-045,"229 SASSAFRAS DR, EASLEY, SC 29642",29642,SC,34.767487,-82.516624,SFR,2000.0,4.0,,2364.0,0.574,395000.0,2023-10-06,Resale,167.09,24860,"Greenville-Anderson-Greer, SC"
207587,45007,154-00-05-008,"503 HARMONY RD, ANDERSON, SC 29624",29624,SC,34.412460,-82.614632,SFR,,2.0,,1053.0,6.95,175000.0,2023-07-07,Resale,166.19,24860,"Greenville-Anderson-Greer, SC"
210691,45007,100-00-03-045,"133 WOODFOREST LN, ANDERSON, SC 29626",29626,SC,34.440703,-82.702521,MOBILE HOME,1993.0,,,,3.92,60000.0,2025-07-23,Resale,,24860,"Greenville-Anderson-Greer, SC"
211712,45007,155-00-03-014,"3030 AIRLINE RD, ANDERSON, SC 29624",29624,SC,34.405268,-82.626491,SFR,,,,1587.0,10.0,160000.0,2026-01-28,Resale,100.82,24860,"Greenville-Anderson-Greer, SC"
220076,45007,014-11-01-009,"116 SUE ELLA CT, TOWNVILLE, SC 29689",29689,SC,34.560738,-82.883513,MOBILE HOME,2003.0,,,1808.0,0.599,150000.0,2023-06-16,Resale,82.96,24860,"Greenville-Anderson-Greer, SC"
233148,45007,276-11-04-012,"1 HAWTHORNE ST, HONEA PATH, SC 29654",29654,SC,34.443309,-82.382136,SFR,,2.0,,1866.0,0.23,47000.0,2024-10-18,Resale,25.19,24860,"Greenville-Anderson-Greer, SC"
233159,45007,127-15-01-007,"105 CASE LN, ANDERSON, SC 29624",29624,SC,34.433830,-82.648941,MOBILE HOME,1999.0,3.0,,1904.0,1.09,207000.0,2025-10-17,Resale,108.72,24860,"Greenville-Anderson-Greer, SC"
234491,45007,130-00-02-032,"112 TUCKER DR, STARR, SC 29684",29684,SC,34.382217,-82.664755,MOBILE HOME,1998.0,3.0,,1792.0,1.62,170000.0,2023-09-15,Resale,94.87,24860,"Greenville-Anderson-Greer, SC"
257421,45007,148-27-01-057,"607 LAUREL CRK, ANDERSON, SC 29621",29621,SC,34.535376,-82.626925,SFR,1995.0,3.0,,2395.0,0.321,350000.0,2026-03-13,Resale,146.14,24860,"Greenville-Anderson-Greer, SC"
258780,45007,093-16-02-077,"106 CORTLAND LN, ANDERSON, SC 29625",29625,SC,34.558527,-82.712368,MOBILE HOME,2000.0,3.0,,1782.0,0.612,200000.0,2025-07-14,Resale,112.23,24860,"Greenville-Anderson-Greer, SC"
260556,45007,126-05-11-021,"4025 HIGHWAY 81 S, ANDERSON, SC 29624",29624,SC,34.456711,-82.665268,COMMERCIAL (NEC),2001.0,,,1200.0,0.99,,2025-10-27,Resale,,24860,"Greenville-Anderson-Greer, SC"
260557,45007,125-21-05-007,"648 WOODVALE RD, ANDERSON, SC 29624",29624,SC,34.471529,-82.644906,SFR,,,,954.0,0.367,163000.0,2026-01-16,New Construction,170.86,24860,"Greenville-Anderson-Greer, SC"
260561,45007,072-03-02-011,"712 MOUNTAIN VIEW RD, ANDERSON, SC 29626",29626,SC,34.461841,-82.763815,RESIDENTIAL - VACANT LAND,,,,,0.57,110000.0,2025-06-20,Resale,,24860,"Greenville-Anderson-Greer, SC"
260562,45007,126-05-18-004,"316 WELLINGTON ST, ANDERSON, SC 29624",29624,SC,34.453402,-82.663148,SFR,,,,1426.0,0.306,103100.0,2023-11-16,Resale,72.3,24860,"Greenville-Anderson-Greer, SC"
269671,45007,125-14-04-019,"3022 PLAINVIEW RD, ANDERSON, SC 29626",29626,SC,34.460807,-82.666987,SFR,,2.0,,1570.0,0.35,175000.0,2025-06-06,Resale,111.46,24860,"Greenville-Anderson-Greer, SC"
300455,45007,213-08-05-003,"310 SASSAFRAS DR, EASLEY, SC 29642",29642,SC,34.767271,-82.518683,SFR,1999.0,4.0,,3696.0,0.574,590000.0,2024-01-29,Resale,159.63,24860,"Greenville-Anderson-Greer, SC"
326351,45007,123-01-08-028,"406 LILAC ST, ANDERSON, SC 29625",29625,SC,34.523109,-82.686322,SFR,,3.0,,1327.0,0.29,199999.0,2025-08-01,Resale,150.72,24860,"Greenville-Anderson-Greer, SC"
329349,45007,123-21-02-007,"312 F ST, ANDERSON, SC 29625",29625,SC,34.507682,-82.661949,SFR,,2.0,,943.0,0.161,65500.0,2025-04-23,Resale,69.46,24860,"Greenville-Anderson-Greer, SC"
