attom_id,fips,apn,address,postal1,state,latitude,longitude,property_type,year_built,beds,baths,sqft,lot_size,sale_amount,sale_date,sale_type,price_per_sqft,area_code,area_title,sale_year,sale_month,property_age,log_price_per_sqft
108521,45045,0137.00-03-021.00,"13 HAYNESWORTH ST, GREENVILLE, SC 29611",29611.0,SC,34.864208,-82.424102,SFR,1986.0,3.0,1.0,1200.0,0.1679982,50359.0,2024-05-13,Resale,41.97,24860,"Greenville-Anderson-Greer, SC",2024,5,38.0,3.7369550773454994
125159,45045,0122.00-10-018.00,"516 SPRING ST, GREENVILLE, SC 29611",29611.0,SC,34.85193,-82.432979,SFR,1950.0,2.0,1.0,1012.0,0.3260101,135000.0,2025-11-12,Resale,133.4,24860,"Greenville-Anderson-Greer, SC",2025,11,75.0,4.893352133481524
126007,45045,0279.04-01-078.00,"2530 E NORTH ST, GREENVILLE, SC 29615",29615.0,SC,34.869093,-82.351674,SFR,1984.0,2.0,1.5,980.0,0.012,130000.0,2025-08-29,Resale,132.65,24860,"Greenville-Anderson-Greer, SC",2025,8,41.0,4.8877140805837485
134601,45045,B002.04-01-021.00,"21 SPINNAKER CT, GREENVILLE, SC 29611",29611.0,SC,34.858852,-82.481322,SFR,1981.0,2.0,2.5,1386.0,0.023,212000.0,2026-05-12,Resale,152.96,24860,"Greenville-Anderson-Greer, SC",2026,5,45.0,5.030176449303092
144807,45045,0559.07-01-056.00,"109 OAK VALLEY DR, SIMPSONVILLE, SC 29681",29681.0,SC,34.775439,-82.22367,SFR,1991.0,3.0,2.0,1120.0,,238000.0,2024-04-15,Resale,212.5,24860,"Greenville-Anderson-Greer, SC",2024,4,33.0,5.358941988364472
151294,45045,0538.16-01-030.00,"7 N WALDEN PT, TAYLORS, SC 29687",29687.0,SC,34.893218,-82.311243,SFR,1985.0,3.0,3.0,2724.0,0.1378788,440000.0,2025-10-31,Resale,161.53,24860,"Greenville-Anderson-Greer, SC",2025,10,40.0,5.084690883925667
163303,45045,0632.01-01-029.00,"119 W MCELHANEY RD, TAYLORS, SC 29687",29687.0,SC,34.965354,-82.302689,SFR,1955.0,2.0,1.0,1110.0,0.8100092,197000.0,2024-03-11,Resale,177.48,24860,"Greenville-Anderson-Greer, SC",2024,3,69.0,5.178857926510709
163304,45045,0428.00-01-252.00,"5 BROOMFIELD DR, GREENVILLE, SC 29617",29617.0,SC,34.909241,-82.442589,SFR,1967.0,4.0,2.0,2166.0,0.3399908,295000.0,2025-03-27,Resale,136.2,24860,"Greenville-Anderson-Greer, SC",2025,3,58.0,4.9141243937154115
163306,45045,0197.00-03-021.00,"303 BEECHWOOD AVE, GREENVILLE, SC 29607",29607.0,SC,34.845997,-82.373964,SFR,1947.0,3.0,2.0,1146.0,0.2120064,400000.0,2024-03-27,Resale,349.04,24860,"Greenville-Anderson-Greer, SC",2024,3,77.0,5.855186528815354
163315,45045,0151.00-11-013.00,"107 CONYERS ST, GREENVILLE, SC 29609",29609.0,SC,34.870091,-82.407103,SFR,1955.0,2.0,2.0,1016.0,0.1600092,210000.0,2025-11-20,Resale,206.69,24860,"Greenville-Anderson-Greer, SC",2025,11,70.0,5.331220086223745
